DATE,COM,COM_MM,COM_YY,OPEN,HIGH,LOW,CLOSE,SETTLE,VOLUME,OINT,SERIES
20220622,C5F  ,10,2022,0,0,0,0,0,35,170,C5FV22
20220622,C5F  ,11,2022,0,0,0,0,0,35,170,C5FX22
20220622,C5F  ,12,2022,0,0,0,0,0,35,170,C5FZ22
20220622,C7F  ,06,2022,0,0,0,0,0,0,15,C7FM22
20220622,C7F  ,07,2022,0,0,0,0,0,0,15,C7FN22
20220622,C7F  ,08,2022,0,0,0,0,0,0,15,C7FQ22
20220622,C7F  ,09,2022,0,0,0,0,0,0,15,C7FU22
20220622,C7F  ,10,2022,0,0,0,0,0,0,15,C7FV22
20220622,C7F  ,11,2022,0,0,0,0,0,0,15,C7FX22
20220622,C7F  ,12,2022,0,0,0,0,0,0,15,C7FZ22
20220622,C7F  ,01,2023,0,0,0,0,0,0,10,C7FF23
20220622,C7F  ,02,2023,0,0,0,0,0,0,10,C7FG23
20220622,C7F  ,03,2023,0,0,0,0,0,0,10,C7FH23
20220622,C7F  ,04,2023,0,0,0,0,0,0,10,C7FJ23
20220622,C7F  ,05,2023,0,0,0,0,0,0,10,C7FK23
20220622,C7F  ,06,2023,0,0,0,0,0,0,10,C7FM23
20220622,C7F  ,07,2023,0,0,0,0,0,0,10,C7FN23
20220622,C7F  ,08,2023,0,0,0,0,0,0,10,C7FQ23
20220622,C7F  ,09,2023,0,0,0,0,0,0,10,C7FU23
20220622,C7F  ,10,2023,0,0,0,0,0,0,10,C7FV23
20220622,C7F  ,11,2023,0,0,0,0,0,0,10,C7FX23
20220622,C7F  ,12,2023,0,0,0,0,0,0,10,C7FZ23
20220622,CCF  ,06,2022,0,0,0,0,415,0,0,CCFM22
20220622,CCF  ,07,2022,0,0,0,0,383.67,0,0,CCFN22
20220622,CCF  ,08,2022,0,0,0,0,379.67,0,0,CCFQ22
20220622,CCF  ,09,2022,0,0,0,0,374,0,0,CCFU22
20220622,CCF  ,10,2022,0,0,0,0,366.33,0,0,CCFV22
20220622,CCF  ,11,2022,0,0,0,0,366,0,0,CCFX22
20220622,CCF  ,12,2022,0,0,0,0,365.67,0,0,CCFZ22
20220622,CCF  ,01,2023,0,0,0,0,356.67,0,0,CCFF23
20220622,CCF  ,02,2023,0,0,0,0,356.67,0,0,CCFG23
20220622,CCF  ,03,2023,0,0,0,0,356.67,0,0,CCFH23
20220622,CCF  ,04,2023,0,0,0,0,345,0,0,CCFJ23
20220622,CCF  ,05,2023,0,0,0,0,345,0,0,CCFK23
20220622,CCF  ,06,2023,0,0,0,0,345,0,0,CCFM23
20220622,CCF  ,07,2023,0,0,0,0,335,0,0,CCFN23
20220622,CCF  ,08,2023,0,0,0,0,335,0,0,CCFQ23
20220622,CCF  ,09,2023,0,0,0,0,335,0,0,CCFU23
20220622,CCF  ,10,2023,0,0,0,0,320.67,0,0,CCFV23
20220622,CCF  ,11,2023,0,0,0,0,320.67,0,0,CCFX23
20220622,CCF  ,12,2023,0,0,0,0,320.67,0,0,CCFZ23
20220622,CCF  ,01,2024,0,0,0,0,311.33,0,0,CCFF24
20220622,CCF  ,02,2024,0,0,0,0,311.33,0,0,CCFG24
20220622,CCF  ,03,2024,0,0,0,0,311.33,0,0,CCFH24
20220622,CCF  ,04,2024,0,0,0,0,307.56,0,0,CCFJ24
20220622,CCF  ,05,2024,0,0,0,0,307.56,0,0,CCFK24
20220622,CCF  ,06,2024,0,0,0,0,307.56,0,0,CCFM24
20220622,CCF  ,07,2024,0,0,0,0,305.56,0,0,CCFN24
20220622,CCF  ,08,2024,0,0,0,0,305.56,0,0,CCFQ24
20220622,CCF  ,09,2024,0,0,0,0,305.56,0,0,CCFU24
20220622,CCF  ,10,2024,0,0,0,0,303.56,0,0,CCFV24
20220622,CCF  ,11,2024,0,0,0,0,303.56,0,0,CCFX24
20220622,CCF  ,12,2024,0,0,0,0,303.56,0,0,CCFZ24
20220622,CCF  ,01,2025,0,0,0,0,260,0,0,CCFF25
20220622,CCF  ,02,2025,0,0,0,0,260,0,0,CCFG25
20220622,CCF  ,03,2025,0,0,0,0,260,0,0,CCFH25
20220622,CCF  ,04,2025,0,0,0,0,260,0,0,CCFJ25
20220622,CCF  ,05,2025,0,0,0,0,260,0,0,CCFK25
20220622,CCF  ,06,2025,0,0,0,0,260,0,0,CCFM25
20220622,CCF  ,07,2025,0,0,0,0,260,0,0,CCFN25
20220622,CCF  ,08,2025,0,0,0,0,260,0,0,CCFQ25
20220622,CCF  ,09,2025,0,0,0,0,260,0,0,CCFU25
20220622,CCF  ,10,2025,0,0,0,0,260,0,0,CCFV25
20220622,CCF  ,11,2025,0,0,0,0,260,0,0,CCFX25
20220622,CCF  ,12,2025,0,0,0,0,260,0,0,CCFZ25
20220622,CN   ,06,2022,14329,14413,14149,14186,14186,278106,884469,CNM22
20220622,CN   ,07,2022,14159,14229,13971,13995,13995,11755,17357,CNN22
